Index,Date: 2022.08.14-16-41-40
217,RSSI: -64
218,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.277 ms
219,RSSI: -65
220,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.564 ms
221,RSSI: -65
222,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.098 ms
223,RSSI: -65
224,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.489 ms
225,RSSI: -66
226,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.978 ms
227,RSSI: -67
228,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.245 ms
229,RSSI: -68
230,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.441 ms
231,RSSI: -68
232,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.396 ms
233,RSSI: -69
234,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.572 ms
235,RSSI: -71
236,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.644 ms
237,RSSI: -71
238,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.879 ms
239,RSSI: -71
240,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=21.817 ms
241,RSSI: -70
242,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.630 ms
243,RSSI: -70
244,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.334 ms
245,RSSI: -71
246,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.802 ms
247,RSSI: -70
248,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.611 ms
249,RSSI: -70
250,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.940 ms
251,RSSI: -69
252,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.429 ms
253,RSSI: -67
254,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.168 ms
255,RSSI: -66
256,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.144 ms
257,RSSI: -65
258,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.303 ms
259,RSSI: -66
260,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.305 ms
261,RSSI: -68
262,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.741 ms
263,RSSI: -68
264,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=19.654 ms
265,RSSI: -69
266,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.557 ms
267,RSSI: -68
268,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.469 ms
269,RSSI: -67
